,name,tag,stars,created,forks,releases,commits,contributors,pushed,crawl_last_updated
0,0x4D31/awesome-threat-detection,secumon,2828,2018-01-13 08-50-29,553,0,125,9,2023-03-24 17-31-41,2023-07-19 12-41-35
1,0xN3utr0n/Kanis,secumon,30,2020-04-06 22-03-37,4,0,21,1,2020-12-05 23-07-51,2023-07-20 00-47-25
2,airbnb/binaryalert,secumon,1352,2017-07-12 21-27-13,193,5,78,12,2022-12-08 01-26-48,2023-07-19 22-52-10
3,airbnb/streamalert,secumon,2805,2017-01-22 01-10-56,344,28,1904,25,2023-03-20 10-13-27,2023-07-19 22-51-43
4,ait-aecid/logdata-anomaly-miner,secumon,42,2020-03-30 17-38-35,20,17,2646,11,2023-07-19 14-11-11,2023-07-19 23-55-18
5,ajaykumarkk/CyberDoc,secumon,2,2018-10-22 08-59-02,2,0,52,1,2019-02-12 10-43-42,2023-07-20 20-49-36
6,arkime/arkime,secumon,5710,2012-07-06 16-10-55,1035,0,5357,90,2023-07-18 22-07-10,2023-07-19 11-32-38
7,atc-project/atomic-threat-coverage,secumon,902,2018-12-12 04-45-18,153,0,689,16,2022-05-25 11-05-20,2023-07-20 04-50-29
8,austin-taylor/flare,secumon,425,2016-11-10 00-14-39,89,1,119,10,2022-12-07 23-39-04,2023-07-19 20-47-50
9,BlueTeamLabs/sentinel-attack,secumon,996,2019-05-30 18-47-36,205,7,309,8,2021-04-27 09-54-20,2023-07-20 04-53-03
10,bytedance/Elkeid,secumon,1830,2020-12-18 03-15-54,355,90,1195,18,2023-07-19 08-07-11,2023-07-20 10-07-40
11,certsocietegenerale/FIR,secumon,1562,2015-03-11 16-23-34,488,3,486,23,2023-06-02 15-36-20,2023-07-06 07-36-49
12,cisco/joy,secumon,1243,2016-01-08 20-30-43,325,0,1483,15,2020-03-23 11-40-56,2023-07-20 16-54-33
13,cisco/mercury,secumon,377,2019-08-30 21-58-25,67,0,2245,7,2023-03-01 19-22-49,2023-07-21 11-08-04
14,CISOfy/lynis,secumon,11034,2013-12-10 14-00-49,1331,58,3490,180,2023-08-03 21-43-36,2023-08-04 11-36-18
15,clong/DetectionLab,secumon,4237,2017-03-25 05-18-50,934,0,1222,67,2023-03-27 18-18-58,2023-07-19 12-41-32
16,cloudina/hawk,secumon,9,2021-09-01 15-10-41,1,5,20,1,2023-06-26 10-25-15,2023-07-06 10-34-23
